Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,Reward_Total,Reward_Queue,Reward_Throughput,Reward_Wait,Reward_Fairness
61,4,3,0.5,0,1,0,3.83,1.6,-1.1663700107874866,-0.7777777777777778,0.0,-0.2635922330097087,-0.125
62,3,3,0.0,0,0,0,3.6,2.2,-0.948220064724919,-0.6666666666666666,0.0,-0.28155339805825247,-0.0
63,2,4,1.0,0,0,0,2.4,3.0,-1.1788025889967637,-0.6666666666666666,0.0,-0.2621359223300971,-0.25
64,1,4,1.5,0,0,0,1.2,3.8,-1.1732740021574974,-0.5555555555555556,0.0,-0.24271844660194172,-0.375
65,0,5,2.5,0,0,0,0.0,4.8,-1.4135652642934198,-0.5555555555555556,0.0,-0.23300970873786406,-0.625
66,0,5,2.5,0,0,0,0.0,5.8,-1.462108953613808,-0.5555555555555556,0.0,-0.2815533980582524,-0.625
67,0,5,2.5,0,0,1,0.0,6.8,-1.3856526429341964,-0.5555555555555556,0.125,-0.33009708737864074,-0.625
68,0,5,2.5,0,0,0,0.0,7.8,-1.5591963322545848,-0.5555555555555556,0.0,-0.37864077669902907,-0.625
69,0,5,2.5,1,0,1,0.0,8.8,-1.482740021574973,-0.5555555555555556,0.125,-0.4271844660194175,-0.625
70,0,5,2.5,0,0,0,0.0,9.8,-1.6562837108953614,-0.5555555555555556,0.0,-0.47572815533980584,-0.625
71,1,5,2.0,1,0,1,0.2,10.8,-1.5756472491909386,-0.6666666666666666,0.125,-0.5339805825242718,-0.5
72,1,4,1.5,0,0,0,0.4,10.75,-1.4718176914778858,-0.5555555555555556,0.0,-0.5412621359223301,-0.375
73,1,3,1.0,1,0,1,0.5,8.25,-0.9942017259978424,-0.4444444444444444,0.125,-0.42475728155339804,-0.25
74,2,2,0.0,0,0,0,0.83,5.5,-0.7517259978425026,-0.4444444444444444,0.0,-0.30728155339805824,-0.0
75,3,1,1.0,0,0,0,1.33,3.67,-0.9371628910463862,-0.4444444444444444,0.0,-0.24271844660194172,-0.25
76,4,0,2.0,1,0,0,1.71,0.0,-1.0274541531823085,-0.4444444444444444,0.0,-0.08300970873786408,-0.5
77,4,0,2.0,0,0,0,2.29,0.0,-1.055609492988134,-0.4444444444444444,0.0,-0.11116504854368932,-0.5
78,5,0,2.5,0,0,0,3.0,0.0,-1.3261866235167206,-0.5555555555555556,0.0,-0.14563106796116504,-0.625
79,5,0,2.5,0,1,1,3.71,0.0,-1.2356526429341963,-0.5555555555555556,0.125,-0.18009708737864077,-0.625
80,6,0,3.0,0,0,1,4.57,0.0,-1.5135113268608413,-0.6666666666666666,0.125,-0.22184466019417476,-0.75
81,6,0,3.0,0,0,0,5.43,0.0,-1.6802588996763754,-0.6666666666666666,0.0,-0.2635922330097087,-0.75
82,7,0,3.5,0,1,0,6.43,0.0,-1.964913700107875,-0.7777777777777778,0.0,-0.31213592233009707,-0.875
83,7,0,3.5,0,1,1,7.43,0.0,-1.8884573894282632,-0.7777777777777778,0.125,-0.3606796116504854,-0.875
84,7,1,3.0,0,0,0,8.43,0.25,-2.0602481121898597,-0.8888888888888888,0.0,-0.4213592233009708,-0.75
85,6,1,2.5,0,0,1,8.5,0.5,-1.7146709816612729,-0.7777777777777778,0.125,-0.4368932038834951,-0.625
86,5,2,1.5,0,1,0,7.33,0.8,-1.547437971952535,-0.7777777777777778,0.0,-0.3946601941747573,-0.375
87,4,2,1.0,0,0,0,6.0,1.2,-1.2661812297734627,-0.6666666666666666,0.0,-0.34951456310679613,-0.25
88,3,3,0.0,0,0,0,5.4,1.8,-1.0161812297734627,-0.6666666666666666,0.0,-0.34951456310679613,-0.0
89,2,3,0.5,0,0,0,3.6,2.4,-0.9718176914778857,-0.5555555555555556,0.0,-0.2912621359223301,-0.125
90,1,3,1.0,0,0,0,2.25,3.0,-0.9492988133764833,-0.4444444444444444,0.0,-0.25485436893203883,-0.25
91,0,4,2.0,0,0,0,0.0,3.8,-1.12891046386192,-0.4444444444444444,0.0,-0.1844660194174757,-0.5
92,0,4,2.0,0,0,0,0.0,4.6,-1.1677454153182307,-0.4444444444444444,0.0,-0.22330097087378636,-0.5
93,0,5,2.5,0,0,1,0.0,5.6,-1.3274002157497304,-0.5555555555555556,0.125,-0.27184466019417475,-0.625
94,0,5,2.5,0,0,0,0.0,6.6,-1.5009439050701188,-0.5555555555555556,0.0,-0.3203883495145631,-0.625
95,0,5,2.5,0,0,1,0.0,7.6,-1.424487594390507,-0.5555555555555556,0.125,-0.3689320388349514,-0.625
96,0,5,2.5,1,0,0,0.0,8.6,-1.5980312837108954,-0.5555555555555556,0.0,-0.4174757281553398,-0.625
97,0,5,2.5,0,0,1,0.0,9.6,-1.5215749730312838,-0.5555555555555556,0.125,-0.4660194174757281,-0.625
98,0,4,2.0,1,0,1,0.0,9.5,-1.2806094929881338,-0.4444444444444444,0.125,-0.4611650485436893,-0.5
99,1,3,1.0,0,0,0,0.25,7.0,-1.04638619201726,-0.4444444444444444,0.0,-0.3519417475728155,-0.25
100,1,2,0.5,1,0,0,0.4,4.5,-0.6961974110032363,-0.3333333333333333,0.0,-0.23786407766990292,-0.125
101,1,1,0.0,0,0,1,0.6,3.0,-0.2719795037756203,-0.2222222222222222,0.125,-0.17475728155339806,-0.0
102,2,0,1.0,1,0,0,0.83,0.0,-0.5125134843581445,-0.2222222222222222,0.0,-0.04029126213592232,-0.25
103,2,0,1.0,0,0,0,1.17,0.0,-0.5290183387270766,-0.2222222222222222,0.0,-0.05679611650485436,-0.25
104,3,0,1.5,1,0,0,1.43,0.0,-0.7777508090614886,-0.3333333333333333,0.0,-0.06941747572815533,-0.375
105,4,0,2.0,0,0,1,2.0,0.0,-0.9165318230852211,-0.4444444444444444,0.125,-0.0970873786407767,-0.5
106,4,0,2.0,0,1,1,2.57,0.0,-0.9442017259978425,-0.4444444444444444,0.125,-0.12475728155339805,-0.5
107,5,0,2.5,0,0,0,3.29,0.0,-1.3402642934196334,-0.5555555555555556,0.0,-0.15970873786407766,-0.625
108,6,0,3.0,0,1,1,4.14,0.0,-1.4926375404530745,-0.6666666666666666,0.125,-0.20097087378640774,-0.75
109,5,0,2.5,0,1,0,4.71,0.0,-1.4091963322545846,-0.5555555555555556,0.0,-0.2286407766990291,-0.625
110,6,0,3.0,0,0,1,5.57,0.0,-1.5620550161812297,-0.6666666666666666,0.125,-0.2703883495145631,-0.75
111,6,0,3.0,0,0,0,5.5,0.0,-1.6836569579288025,-0.6666666666666666,0.0,-0.2669902912621359,-0.75
112,5,1,2.0,0,0,0,4.67,0.25,-1.4055016181229774,-0.6666666666666666,0.0,-0.23883495145631067,-0.5
113,4,2,1.0,0,1,0,3.83,0.6,-1.131715210355987,-0.6666666666666666,0.0,-0.21504854368932036,-0.25
114,3,2,0.5,0,0,0,2.83,1.0,-0.8664778856526429,-0.5555555555555556,0.0,-0.18592233009708736,-0.125
115,2,3,0.5,0,0,0,2.2,1.6,-0.8650215749730313,-0.5555555555555556,0.0,-0.18446601941747573,-0.125
116,1,3,1.0,0,0,0,1.2,2.2,-0.8594929881337648,-0.4444444444444444,0.0,-0.1650485436893204,-0.25
117,0,4,2.0,0,0,0,0.0,3.0,-1.0900755124056094,-0.4444444444444444,0.0,-0.14563106796116504,-0.5
118,0,5,2.5,0,0,0,0.0,4.0,-1.3747303128371091,-0.5555555555555556,0.0,-0.1941747572815534,-0.625
